stage,schedule,fill_model,fold,train_start,train_end_exclusive,test_start,test_end_exclusive,param_id,parameter_set,a,b,c,d,direction,total_pnl_cents,trades,daily_sharpe,win_rate,profit_factor,max_drawdown_cents,top_trade_pnl_cents,top_trade_removed_pnl_cents,subfold_1_pnl_cents,subfold_2_pnl_cents,subfold_3_pnl_cents,profitable_train_subfolds,consistency_gate_pass,top_trade_gate_pass,neighborhood_count,neighborhood_gate_pass,survives_base_gates,survives_all_gates,eligible_for_selection,selection_mode,z_sharpe,z_top_trade_removed_pnl,z_profit_factor,z_neighborhood_count,z_drawdown,composite_score,is_winner,winner_is_top_composite,rank,elimination_reason,stage2_source
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a60_b0.3_c900_d14400_reversal,a=60s | b=0.3x sigma | c=900s | d=14400s | reversal,60,0.3,900,14400,reversal,435.0000000000052,64,1.7334086372554613,0.5625,1.353084415584419,-293.9999999999998,221.0000000000008,214.00000000000438,-162.99999999999955,305.000000000004,293.0000000000007,2,True,True,4,True,True,True,True,strict_all_gates,-0.9607034842105148,-0.5710622557687027,-0.9093605812279167,-0.19092837757791908,1.6497435703554129,-0.34855841747289357,False,True,31.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a120_b0.3_c1800_d7200_reversal,a=120s | b=0.3x sigma | c=1800s | d=7200s | reversal,120,0.3,1800,7200,reversal,321.0000000000051,64,1.868463072741013,0.578125,1.3914634146341536,-221.99999999999704,132.00000000000074,189.00000000000438,-103.00000000000153,401.0000000000076,22.999999999998977,2,True,True,5,True,True,True,True,strict_all_gates,-0.7930640412846653,-0.7191854678058427,-0.7404035078786882,0.8061420386623253,0.2950402842396792,-0.3635987570833628,False,True,32.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a300_b0.3_c3600_d14400_reversal,a=300s | b=0.3x sigma | c=3600s | d=14400s | reversal,300,0.3,3600,14400,reversal,513.0000000000066,64,2.1607132680629486,0.484375,1.4472537053182288,-195.00000000000028,210.99999999999994,302.00000000000665,-172.99999999999613,647.0000000000014,39.00000000000148,2,True,True,3,True,True,True,True,strict_all_gates,-0.43030172427819213,-0.049668549397956806,-0.49479615832095447,-1.1879987938181635,-0.21297344805364068,-0.4258729146618606,False,True,33.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a120_b0.7_c900_d7200_reversal,a=120s | b=0.7x sigma | c=900s | d=7200s | reversal,120,0.7,900,7200,reversal,300.00000000000074,64,1.8681896846762396,0.5625,1.376884422110553,-207.00000000000287,128.0000000000001,172.00000000000063,-50.00000000000355,306.0000000000045,43.99999999999977,2,True,True,5,True,True,True,True,strict_all_gates,-0.7934033905456979,-0.81990925199112,-0.8045850647237692,0.8061420386623253,0.012810432965688363,-0.4408432191258527,False,True,34.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a60_b0.9_c900_d1800_continuation,a=60s | b=0.9x sigma | c=900s | d=1800s | continuation,60,0.9,900,1800,continuation,247.99999999999613,64,2.672025176720747,0.625,1.545054945054936,-133.00000000000196,85.00000000000085,162.99999999999528,-7.00000000000216,154.00000000000205,100.99999999999625,2,True,True,3,True,True,True,True,strict_all_gates,0.20437601303992922,-0.873233608324522,-0.06424268780373385,-1.1879987938181635,-1.3795234999865578,-0.55176034541042,False,True,35.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a120_b0.3_c3600_d7200_reversal,a=120s | b=0.3x sigma | c=3600s | d=7200s | reversal,120,0.3,3600,7200,reversal,294.00000000001046,64,1.6977153991409286,0.53125,1.3495838287752824,-191.99999999999733,132.00000000000074,162.00000000000972,-50.9999999999998,299.0000000000066,46.00000000000364,2,True,True,5,True,True,True,True,strict_all_gates,-1.0050085418876473,-0.879158536805922,-0.9247713245229725,0.8061420386623253,-0.2694194183085164,-0.5794995023931493,False,True,36.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a300_b0.5_c1800_d7200_reversal,a=300s | b=0.5x sigma | c=1800s | d=7200s | reversal,300,0.5,1800,7200,reversal,285.0000000000023,64,1.6877319848727752,0.515625,1.3302433371958322,-185.99999999999852,128.0000000000001,157.00000000000216,-83.99999999999608,324.99999999999716,44.000000000001194,2,True,True,5,True,True,True,True,strict_all_gates,-1.017400685843484,-0.9087831792133949,-1.0099145782635075,0.8061420386623253,-0.3823113588181341,-0.6203285853192914,False,True,37.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a300_b0.3_c1800_d7200_reversal,a=300s | b=0.3x sigma | c=1800s | d=7200s | reversal,300,0.3,1800,7200,reversal,239.99999999999844,64,1.4063994976881828,0.5,1.2705749718151038,-235.9999999999985,128.0000000000001,111.99999999999832,-146.99999999999775,347.99999999999613,39.00000000000006,2,True,True,5,True,True,True,True,strict_all_gates,-1.3666111450113672,-1.1754049608802695,-1.2725944979038302,0.8061420386623253,0.5584548120955336,-0.6900342307953732,False,True,38.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a120_b0.9_c900_d1800_continuation,a=120s | b=0.9x sigma | c=900s | d=1800s | continuation,120,0.9,900,1800,continuation,196.9999999999999,64,2.187175816556111,0.5625,1.4477272727272723,-120.99999999999795,84.99999999999943,112.00000000000045,-19.999999999998863,120.0000000000017,96.99999999999704,2,True,True,3,True,True,True,True,strict_all_gates,-0.3974544736725901,-1.1754049608802568,-0.4927113576370733,-1.1879987938181635,-1.6053073810059135,-0.9059902121910137,False,True,39.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a120_b0.5_c3600_d1800_reversal,a=120s | b=0.5x sigma | c=3600s | d=1800s | reversal,120,0.5,3600,1800,reversal,197.9999999999997,64,1.915559332076757,0.53125,1.3952095808383238,-150.0,104.99999999999972,92.99999999999997,28.999999999999915,25.99999999999909,143.00000000000068,3,True,True,3,True,True,True,True,strict_all_gates,-0.7346047196744536,-1.287978602028486,-0.7239116426969994,-1.1879987938181635,-1.0596630018759474,-0.9881120821681241,False,True,40.0,survived,
