schedule,fill_model,date,pnl_cents,trades,month,cum_pnl_cents
3m_train_1m_test,actual_bid_ask,2025-11-17,-0.9998321533203125,1,2025-11,58.00018310546875
3m_train_1m_test,actual_bid_ask,2025-11-18,-21.000289916992188,1,2025-11,36.99989318847656
3m_train_1m_test,actual_bid_ask,2025-11-19,0.99945068359375,1,2025-11,37.99934387207031
3m_train_1m_test,actual_bid_ask,2025-11-21,27.000045776367188,1,2025-11,64.9993896484375
3m_train_1m_test,actual_bid_ask,2025-11-24,-32.99980163574219,1,2025-11,31.999588012695312
3m_train_1m_test,actual_bid_ask,2025-11-25,31.999969482421875,1,2025-11,63.99955749511719
3m_train_1m_test,actual_bid_ask,2026-01-06,-4.449645843505859,1,2026-01,59.549911651611325
3m_train_1m_test,actual_bid_ask,2026-01-15,7.4766473388671875,1,2026-01,67.02655899047852
3m_train_1m_test,actual_bid_ask,2026-01-16,10.458106842041015,1,2026-01,77.48466583251954
3m_train_1m_test,actual_bid_ask,2026-01-21,6.429233703613281,1,2026-01,83.91389953613282
3m_train_1m_test,actual_bid_ask,2026-01-22,11.449138946533203,1,2026-01,95.36303848266601
3m_train_1m_test,mid_dynamic_cost,2025-04-02,13.53149169921875,1,2025-04,13.53149169921875
3m_train_1m_test,mid_dynamic_cost,2025-04-03,-23.90570831298828,1,2025-04,-10.374216613769532
3m_train_1m_test,mid_dynamic_cost,2025-04-04,-146.75848114013672,1,2025-04,-157.13269775390626
3m_train_1m_test,mid_dynamic_cost,2025-04-07,47.99430679321289,1,2025-04,-109.13839096069336
3m_train_1m_test,mid_dynamic_cost,2025-04-08,-4.065339050292969,1,2025-04,-113.20373001098633
3m_train_1m_test,mid_dynamic_cost,2025-04-10,-116.08121368408203,1,2025-04,-229.28494369506836
3m_train_1m_test,mid_dynamic_cost,2025-04-11,-12.049522094726562,1,2025-04,-241.33446578979493
3m_train_1m_test,mid_dynamic_cost,2025-04-16,-109.56656951904297,1,2025-04,-350.9010353088379
3m_train_1m_test,mid_dynamic_cost,2025-04-17,1.3494915771484375,1,2025-04,-349.55154373168943
3m_train_1m_test,mid_dynamic_cost,2025-04-22,-12.679647521972656,1,2025-04,-362.23119125366213
3m_train_1m_test,mid_dynamic_cost,2025-04-23,-9.238644104003907,1,2025-04,-371.469835357666
3m_train_1m_test,mid_dynamic_cost,2025-05-02,42.507076263427734,1,2025-05,-328.96275909423827
3m_train_1m_test,mid_dynamic_cost,2025-05-05,67.10855102539062,1,2025-05,-261.85420806884764
3m_train_1m_test,mid_dynamic_cost,2025-05-06,-9.464969482421875,1,2025-05,-271.31917755126955
3m_train_1m_test,mid_dynamic_cost,2025-05-08,60.545125274658204,1,2025-05,-210.77405227661131
3m_train_1m_test,mid_dynamic_cost,2025-05-09,69.46674057006835,1,2025-05,-141.30731170654298
3m_train_1m_test,mid_dynamic_cost,2025-05-12,52.87903045654297,1,2025-05,-88.42828125
3m_train_1m_test,mid_dynamic_cost,2025-05-13,32.39764739990235,1,2025-05,-56.03063385009766
3m_train_1m_test,mid_dynamic_cost,2025-05-15,-3.560413513183594,1,2025-05,-59.59104736328125
3m_train_1m_test,mid_dynamic_cost,2025-05-16,45.42453582763672,1,2025-05,-14.166511535644531
3m_train_1m_test,mid_dynamic_cost,2025-05-19,-37.60041046142578,1,2025-05,-51.76692199707031
3m_train_1m_test,mid_dynamic_cost,2025-05-20,-9.120844116210938,1,2025-05,-60.88776611328125
3m_train_1m_test,mid_dynamic_cost,2025-05-21,10.859613647460938,1,2025-05,-50.02815246582031
3m_train_1m_test,mid_dynamic_cost,2025-05-22,27.444305114746093,1,2025-05,-22.58384735107422
3m_train_1m_test,mid_dynamic_cost,2025-05-23,-70.05632369995118,1,2025-05,-92.64017105102539
3m_train_1m_test,mid_dynamic_cost,2025-06-02,68.42530853271484,1,2025-06,-24.214862518310554
3m_train_1m_test,mid_dynamic_cost,2025-06-03,-4.595464172363281,1,2025-06,-28.810326690673833
3m_train_1m_test,mid_dynamic_cost,2025-06-04,2.3773052978515623,1,2025-06,-26.433021392822273
3m_train_1m_test,mid_dynamic_cost,2025-06-05,10.399125366210937,1,2025-06,-16.033896026611338
3m_train_1m_test,mid_dynamic_cost,2025-06-06,-35.60198303222656,1,2025-06,-51.6358790588379
3m_train_1m_test,mid_dynamic_cost,2025-06-09,-46.64928131103515,1,2025-06,-98.28516036987305
3m_train_1m_test,mid_dynamic_cost,2025-06-10,-27.686199951171876,1,2025-06,-125.97136032104493
3m_train_1m_test,mid_dynamic_cost,2025-06-12,60.235088195800785,1,2025-06,-65.73627212524414
3m_train_1m_test,mid_dynamic_cost,2025-06-13,-215.9101254272461,1,2025-06,-281.64639755249027
3m_train_1m_test,mid_dynamic_cost,2025-06-17,129.5654946899414,1,2025-06,-152.08090286254884
3m_train_1m_test,mid_dynamic_cost,2025-06-19,-4.094650573730469,1,2025-06,-156.1755534362793
3m_train_1m_test,mid_dynamic_cost,2025-06-20,-58.56443054199219,1,2025-06,-214.73998397827148
3m_train_1m_test,mid_dynamic_cost,2025-06-23,-6.111477966308594,1,2025-06,-220.85146194458008
