stage,param_id,parameter_set,a,b,c,d,direction,stage2_source
2,a100_b0.3_c1800_d14400_reversal,a=100s | b=0.3x sigma | c=1800s | d=14400s | reversal,100,0.3,1800,14400,reversal,refined_from_stage1_gate_survivors
2,a100_b0.3_c3600_d14400_reversal,a=100s | b=0.3x sigma | c=3600s | d=14400s | reversal,100,0.3,3600,14400,reversal,refined_from_stage1_gate_survivors
2,a100_b0.5_c1800_d14400_reversal,a=100s | b=0.5x sigma | c=1800s | d=14400s | reversal,100,0.5,1800,14400,reversal,refined_from_stage1_gate_survivors
2,a100_b0.5_c3600_d1800_reversal,a=100s | b=0.5x sigma | c=3600s | d=1800s | reversal,100,0.5,3600,1800,reversal,refined_from_stage1_gate_survivors
2,a100_b0.5_c3600_d7200_reversal,a=100s | b=0.5x sigma | c=3600s | d=7200s | reversal,100,0.5,3600,7200,reversal,refined_from_stage1_gate_survivors
2,a100_b0.5_c3600_d14400_reversal,a=100s | b=0.5x sigma | c=3600s | d=14400s | reversal,100,0.5,3600,14400,reversal,refined_from_stage1_gate_survivors
2,a100_b0.7_c900_d14400_continuation,a=100s | b=0.7x sigma | c=900s | d=14400s | continuation,100,0.7,900,14400,continuation,refined_from_stage1_gate_survivors
2,a100_b0.7_c1800_d14400_reversal,a=100s | b=0.7x sigma | c=1800s | d=14400s | reversal,100,0.7,1800,14400,reversal,refined_from_stage1_gate_survivors
2,a100_b0.7_c3600_d1800_reversal,a=100s | b=0.7x sigma | c=3600s | d=1800s | reversal,100,0.7,3600,1800,reversal,refined_from_stage1_gate_survivors
2,a100_b0.7_c3600_d7200_reversal,a=100s | b=0.7x sigma | c=3600s | d=7200s | reversal,100,0.7,3600,7200,reversal,refined_from_stage1_gate_survivors
2,a100_b0.7_c3600_d14400_reversal,a=100s | b=0.7x sigma | c=3600s | d=14400s | reversal,100,0.7,3600,14400,reversal,refined_from_stage1_gate_survivors
