fill_model,entry_time_utc,entry_time_dubai,pnl_cents,cum_pnl_cents,param_id,parameter_set,is_in_sample_visual
actual_bid_ask,2025-10-10 07:02:01,2025-10-10 11:02:01,38.00048828125,1900.0068664550781,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-10-13 07:04:46,2025-10-13 11:04:46,-36.99989318847656,1863.0069732666016,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-10-14 07:02:38,2025-10-14 11:02:38,99.00016784667969,1962.0071411132812,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-10-15 07:11:09,2025-10-15 11:11:09,-8.00018310546875,1954.0069580078125,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-10-16 07:36:28,2025-10-16 11:36:28,-11.999893188476562,1942.007064819336,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-10-17 07:02:00,2025-10-17 11:02:00,-13.99993896484375,1928.0071258544922,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-10-20 07:02:01,2025-10-20 11:02:01,-4.9999237060546875,1923.0072021484375,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-10-21 07:02:00,2025-10-21 11:02:00,-81.00013732910156,1842.007064819336,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-10-22 07:02:00,2025-10-22 11:02:00,-1.000213623046875,1841.006851196289,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-10-24 07:25:54,2025-10-24 11:25:54,70.00045776367188,1911.007308959961,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-11-04 07:02:39,2025-11-04 11:02:39,52.00004577636719,1963.0073547363281,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-11-05 07:05:20,2025-11-05 11:05:20,-50.0,1913.0073547363281,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-11-06 07:02:00,2025-11-06 11:02:00,15.000152587890625,1928.0075073242188,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-11-11 07:46:44,2025-11-11 11:46:44,-90.00015258789062,1838.0073547363281,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-11-12 08:25:00,2025-11-12 12:25:00,33.00018310546875,1871.0075378417969,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-11-14 07:02:00,2025-11-14 11:02:00,-84.00001525878906,1787.0075225830078,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-11-17 07:33:10,2025-11-17 11:33:10,47.0001220703125,1834.0076446533203,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-11-18 07:51:39,2025-11-18 11:51:39,48.000335693359375,1882.0079803466797,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-11-19 07:02:00,2025-11-19 11:02:00,29.000091552734375,1911.008071899414,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-11-21 07:02:00,2025-11-21 11:02:00,47.99995422363281,1959.0080261230469,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-11-25 08:07:05,2025-11-25 12:07:05,-0.9998321533203125,1958.0081939697266,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2026-01-05 12:32:45,2026-01-05 16:32:45,-115.38210678100586,1842.6260871887207,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2026-01-06 18:58:31,2026-01-06 22:58:31,4.548369445800781,1847.1744566345214,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2026-01-12 12:33:25,2026-01-12 16:33:25,-11.495615234375,1835.6788414001464,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2026-01-22 17:02:15,2026-01-22 21:02:15,-26.535767822265626,1809.1430735778808,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
