signal_time,signal_time_dubai,entry_time,entry_time_dubai,exit_time,exit_time_dubai,session_bucket,side,move_cents,signal_volume,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,side_label,params
2026-03-05 10:50:22,2026-03-05 14:50:22,2026-03-05 10:52:22,2026-03-05 14:52:22,2026-03-05 16:52:22,2026-03-05 20:52:22,Inside 11:00-24:00 Dubai,-1,-75.99999999999909,7021.0,83.38,83.68,-30.000000000001137,3.3352,-33.33520000000114,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-06 12:04:35,2026-03-06 16:04:35,2026-03-06 12:06:35,2026-03-06 16:06:35,2026-03-06 18:06:35,2026-03-06 22:06:35,Inside 11:00-24:00 Dubai,1,75.0,9008.0,85.71,89.9,419.0000000000012,3.4284,415.5716000000012,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-09 07:00:00,2026-03-09 11:00:00,2026-03-09 07:02:00,2026-03-09 11:02:00,2026-03-09 13:02:00,2026-03-09 17:02:00,Inside 11:00-24:00 Dubai,-1,-121.99999999999989,15761.0,114.27,106.6,767.0000000000002,4.5708,762.4292000000003,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-10 07:00:00,2026-03-10 11:00:00,2026-03-10 07:02:00,2026-03-10 11:02:00,2026-03-10 13:02:00,2026-03-10 17:02:00,Inside 11:00-24:00 Dubai,1,351.9999999999996,5305.0,92.53,92.67,14.000000000000057,3.7012,10.298800000000057,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-11 07:12:46,2026-03-11 11:12:46,2026-03-11 07:14:46,2026-03-11 11:14:46,2026-03-11 13:14:46,2026-03-11 17:14:46,Inside 11:00-24:00 Dubai,-1,-78.00000000000011,1710.0,88.29,91.44,-314.99999999999915,3.5316000000000005,-318.5315999999992,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-12 07:00:00,2026-03-12 11:00:00,2026-03-12 07:02:00,2026-03-12 11:02:00,2026-03-12 13:02:00,2026-03-12 17:02:00,Inside 11:00-24:00 Dubai,1,128.9999999999992,9218.0,100.29,97.83,-246.0000000000008,4.0116000000000005,-250.01160000000078,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-13 07:01:52,2026-03-13 11:01:52,2026-03-13 07:03:52,2026-03-13 11:03:52,2026-03-13 13:03:52,2026-03-13 17:03:52,Inside 11:00-24:00 Dubai,1,76.00000000000051,1022.0,101.21,100.37,-83.99999999999892,4.0484,-88.04839999999892,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-16 09:57:31,2026-03-16 13:57:31,2026-03-16 09:59:31,2026-03-16 13:59:31,2026-03-16 15:59:31,2026-03-16 19:59:31,Inside 11:00-24:00 Dubai,-1,-76.9999999999996,1941.0,103.91,103.08,82.99999999999983,4.1564,78.84359999999982,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-17 09:44:04,2026-03-17 13:44:04,2026-03-17 09:46:04,2026-03-17 13:46:04,2026-03-17 15:46:04,2026-03-17 19:46:04,Inside 11:00-24:00 Dubai,1,78.00000000000011,1807.0,103.73,103.55,-18.000000000000682,4.1492,-22.149200000000683,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-18 07:57:49,2026-03-18 11:57:49,2026-03-18 07:59:49,2026-03-18 11:59:49,2026-03-18 13:59:49,2026-03-18 17:59:49,Inside 11:00-24:00 Dubai,-1,-78.00000000000011,1640.0,101.0,103.39,-239.00000000000006,4.04,-243.04000000000005,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-19 07:04:47,2026-03-19 11:04:47,2026-03-19 07:06:47,2026-03-19 11:06:47,2026-03-19 13:06:47,2026-03-19 17:06:47,Inside 11:00-24:00 Dubai,1,90.00000000000057,4019.0,112.1,115.21,310.99999999999994,4.484,306.51599999999996,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-20 07:00:00,2026-03-20 11:00:00,2026-03-20 07:02:00,2026-03-20 11:02:00,2026-03-20 13:02:00,2026-03-20 17:02:00,Inside 11:00-24:00 Dubai,1,76.00000000000051,1254.0,106.58,108.93,235.00000000000085,4.2632,230.73680000000084,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-23 09:39:44,2026-03-23 13:39:44,2026-03-23 09:41:44,2026-03-23 13:41:44,2026-03-23 15:41:44,2026-03-23 19:41:44,Inside 11:00-24:00 Dubai,-1,-79.00000000000063,1190.0,111.83,103.36,846.9999999999999,4.4732,842.5267999999999,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-24 10:00:02,2026-03-24 14:00:02,2026-03-24 10:02:02,2026-03-24 14:02:02,2026-03-24 16:02:02,2026-03-24 20:02:02,Inside 11:00-24:00 Dubai,-1,-86.99999999999903,762.0,102.95,102.51,43.99999999999977,4.118,39.88199999999977,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-25 07:00:00,2026-03-25 11:00:00,2026-03-25 07:02:00,2026-03-25 11:02:00,2026-03-25 13:02:00,2026-03-25 17:02:00,Inside 11:00-24:00 Dubai,1,93.99999999999977,1452.0,99.8,98.9,-89.99999999999915,3.992,-93.99199999999915,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-26 07:00:00,2026-03-26 11:00:00,2026-03-26 07:02:00,2026-03-26 11:02:00,2026-03-26 13:02:00,2026-03-26 17:02:00,Inside 11:00-24:00 Dubai,1,85.99999999999994,987.0,104.02,105.83,181.00000000000023,4.1608,176.83920000000023,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
