label,delay_s,threshold_cents,lookback_s,hold_s,volume_window_s,volume_multiple,direction,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,selector_objective,train_start,train_end,test_start,test_end
a=60s | move=10c/60s | hold=21600s | vol>2x/300s | momentum,60,10.0,60,21600,300,2.0,momentum,474.00000000000273,474.00000000000273,6.155844155844191,2.735717293720455,4.507799052908575,-158.9999999999997,0.4675324675324675,0.8051948051948052,77,62,0.5806451612903226,7.6451612903226245,1.707462686567168,25,37,0.8051948051948052,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=120s | move=20c/60s | hold=14400s | vol>2x/300s | momentum,120,20.0,60,14400,300,2.0,momentum,279.9999999999983,279.9999999999983,3.636363636363614,1.763377560022392,3.9769632882143022,-115.00000000000091,0.18181818181818182,0.44155844155844154,77,34,0.4117647058823529,8.235294117647008,1.5957446808510551,10,24,0.44155844155844154,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=60s | move=20c/120s | hold=21600s | vol off | momentum,60,20.0,120,21600,300,0.0,momentum,266.00000000000347,266.00000000000347,3.4545454545454994,1.422614957681483,2.0918930968871283,-255.99999999999767,0.2727272727272727,0.5064935064935064,77,39,0.5384615384615384,6.820512820512908,1.4111282843894937,12,27,0.5064935064935064,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=30s | move=20c/60s | hold=21600s | vol off | momentum,30,20.0,60,21600,300,0.0,momentum,263.00000000000335,263.00000000000335,3.4155844155844592,1.7156405767317928,2.5587244735987786,-175.0000000000005,0.2077922077922078,0.38961038961038963,77,30,0.5333333333333333,8.766666666666778,1.6159250585480114,10,20,0.38961038961038963,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=1s | move=20c/60s | hold=21600s | vol off | momentum,1,20.0,60,21600,300,0.0,momentum,255.99999999999983,255.99999999999983,3.3246753246753227,1.665068905326474,2.584251370610112,-184.00000000000085,0.22077922077922077,0.38961038961038963,77,30,0.5666666666666667,8.533333333333328,1.5727069351230363,10,20,0.38961038961038963,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=60s | move=20c/120s | hold=10800s | vol off | momentum,60,20.0,120,10800,300,0.0,momentum,247.00000000000477,247.00000000000477,3.2077922077922696,1.1941308740655736,1.6073627948833682,-373.9999999999997,0.33766233766233766,0.6623376623376623,77,51,0.5098039215686274,4.843137254902055,1.2875436554132762,20,31,0.6623376623376623,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=60s | move=20c/60s | hold=21600s | vol off | momentum,60,20.0,60,21600,300,0.0,momentum,245.99999999999966,245.99999999999966,3.1948051948051903,1.5527052214750765,2.3305285380608862,-188.99999999999915,0.2077922077922078,0.38961038961038963,77,30,0.5333333333333333,8.199999999999987,1.5290322580645144,10,20,0.38961038961038963,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=10s | move=20c/120s | hold=21600s | vol off | momentum,10,20.0,120,21600,300,0.0,momentum,242.0000000000004,242.0000000000004,3.142857142857148,1.2654509116764896,1.8443895656515263,-312.000000000002,0.2597402597402597,0.5064935064935064,77,39,0.5128205128205128,6.205128205128217,1.3543191800878458,12,27,0.5064935064935064,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=30s | move=20c/120s | hold=10800s | vol off | momentum,30,20.0,120,10800,300,0.0,momentum,237.99999999999878,237.99999999999878,3.090909090909075,1.1521395718619802,1.5487794884754809,-378.00000000000387,0.33766233766233766,0.6623376623376623,77,51,0.5098039215686274,4.666666666666643,1.2757821552723017,20,31,0.6623376623376623,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=1s | move=20c/120s | hold=21600s | vol off | momentum,1,20.0,120,21600,300,0.0,momentum,236.000000000003,236.000000000003,3.064935064935104,1.2414795376579713,1.9067462679562808,-318.9999999999992,0.2727272727272727,0.5064935064935064,77,39,0.5384615384615384,6.051282051282128,1.3455344070278203,12,27,0.5064935064935064,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=5s | move=20c/120s | hold=21600s | vol off | momentum,5,20.0,120,21600,300,0.0,momentum,225.00000000000023,225.00000000000023,2.922077922077925,1.1710269097247952,1.6129054432663181,-336.00000000000006,0.24675324675324675,0.5064935064935064,77,39,0.48717948717948717,5.769230769230775,1.32894736842105,12,27,0.5064935064935064,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=120s | move=30c/1800s | hold=21600s | vol off | momentum,120,30.0,1800,21600,300,0.0,momentum,213.00000000000026,213.00000000000026,2.7662337662337695,1.0704618947965485,1.4160655452722004,-225.9999999999985,0.37662337662337664,0.7532467532467533,77,58,0.5,3.6724137931034533,1.2442660550458704,27,31,0.7532467532467533,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=5s | move=20c/60s | hold=21600s | vol off | momentum,5,20.0,60,21600,300,0.0,momentum,204.99999999999787,204.99999999999787,2.6623376623376345,1.3429550986548633,1.8680870206345968,-188.00000000000148,0.19480519480519481,0.38961038961038963,77,30,0.5,6.833333333333262,1.4535398230088388,10,20,0.38961038961038963,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=10s | move=20c/120s | hold=10800s | vol off | momentum,10,20.0,120,10800,300,0.0,momentum,201.0000000000011,201.0000000000011,2.6103896103896247,0.946526629390031,1.2746975338510982,-403.0000000000025,0.33766233766233766,0.6623376623376623,77,51,0.5098039215686274,3.9411764705882577,1.219193020719738,20,31,0.6623376623376623,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=10s | move=20c/60s | hold=21600s | vol off | momentum,10,20.0,60,21600,300,0.0,momentum,200.000000000001,200.000000000001,2.5974025974026103,1.3128951477138975,1.9340952013217778,-183.00000000000176,0.2077922077922078,0.38961038961038963,77,30,0.5333333333333333,6.666666666666701,1.4357298474945517,10,20,0.38961038961038963,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
