label,delay_s,threshold_cents,lookback_s,hold_s,volume_window_s,volume_multiple,direction,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,train_start,train_end,test_start,test_end
a=1s | move=75c/60s | hold=10800s | vol off | momentum,1,75.0,60,10800,300,0.0,momentum,115.00000000000023,115.00000000000023,1.5333333333333363,1.97865259186512,0.0,-44.99999999999966,0.04,0.05333333333333334,75,4,0.75,28.750000000000057,3.5555555555555007,0,4,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=1s | move=75c/60s | hold=9000s | vol>2x/300s | momentum,1,75.0,60,9000,300,2.0,momentum,114.9999999999988,114.9999999999988,1.5333333333333174,2.223430409826279,0.0,-18.000000000000057,0.04,0.05333333333333334,75,4,0.75,28.7499999999997,7.388888888888393,2,2,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=30s | move=75c/60s | hold=10800s | vol off | momentum,30,75.0,60,10800,300,0.0,momentum,114.00000000000114,114.00000000000114,1.5200000000000151,1.9763223762573268,0.0,-43.00000000000006,0.04,0.05333333333333334,75,4,0.75,28.500000000000284,3.651162790697612,0,4,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=1s | move=70c/45s | hold=9000s | vol>3x/300s | momentum,1,70.0,45,9000,300,3.0,momentum,113.99999999999687,113.99999999999687,1.5199999999999583,2.780021717687823,0.0,-3.0000000000009095,0.04,0.05333333333333334,75,4,0.75,28.49999999999922,38.999999999974435,2,2,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=10s | move=70c/45s | hold=7200s | vol>3x/300s | momentum,10,70.0,45,7200,300,3.0,momentum,111.00000000000102,111.00000000000102,1.4800000000000137,1.7956077733939348,0.0,-44.99999999999966,0.04,0.05333333333333334,75,4,0.75,27.750000000000256,3.466666666666631,2,2,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=60s | move=75c/60s | hold=7200s | vol>2x/300s | momentum,60,75.0,60,7200,300,2.0,momentum,99.00000000000057,99.00000000000057,1.3200000000000076,1.6419303645391452,0.0,-47.00000000000068,0.04,0.05333333333333334,75,4,0.75,24.750000000000142,3.1063829787233197,2,2,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=5s | move=100c/180s | hold=7200s | vol off | momentum,5,100.0,180,7200,300,0.0,momentum,98.99999999999915,98.99999999999915,1.3199999999999887,1.6700179314097061,0.0,-58.000000000000625,0.04,0.05333333333333334,75,4,0.75,24.749999999999787,2.706896551724058,2,2,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=1s | move=75c/60s | hold=10800s | vol>2x/300s | momentum,1,75.0,60,10800,300,2.0,momentum,95.00000000000011,95.00000000000011,1.2666666666666682,2.445067729302759,0.0,0.0,0.02666666666666667,0.02666666666666667,75,2,1.0,47.50000000000006,inf,0,2,0.02666666666666667,2025-12,2026-02,2026-03,2026-03
a=5s | move=75c/60s | hold=10800s | vol off | momentum,5,75.0,60,10800,300,0.0,momentum,94.99999999999994,94.99999999999994,1.266666666666666,1.8627633019844498,0.0,-43.00000000000006,0.04,0.05333333333333334,75,4,0.75,23.749999999999986,3.2093023255813162,0,4,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=30s | move=70c/45s | hold=9000s | vol>3x/300s | momentum,30,70.0,45,9000,300,3.0,momentum,93.99999999999943,93.99999999999943,1.2533333333333259,2.3965676057366743,0.0,-11.000000000000739,0.04,0.05333333333333334,75,4,0.75,23.499999999999858,9.545454545453051,2,2,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
