label,delay_s,threshold_cents,lookback_s,hold_s,volume_window_s,volume_multiple,direction,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day
a=7s | move=77.5c/75s | hold=16200s | vol off | momentum,7,77.5,75,16200,300,0.0,momentum,4779.999999999997,4779.999999999997,67.3239436619718,4.92100878956677,18.3008559795905,-142.99999999999818,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,227.61904761904748,33.08053691275165,8,13,0.29577464788732394
a=10s | move=80c/75s | hold=16200s | vol off | momentum,10,80.0,75,16200,300,0.0,momentum,4670.0,4670.0,65.77464788732394,4.8262093450607,18.374891347095637,-160.99999999999864,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,222.38095238095238,29.82716049382723,8,13,0.29577464788732394
a=1s | move=72.5c/75s | hold=16200s | vol off | momentum,1,72.5,75,16200,300,0.0,momentum,4668.000000000002,4668.000000000002,65.74647887323947,4.825442306076996,19.090170689057732,-158.9999999999991,0.2676056338028169,0.30985915492957744,71,22,0.8636363636363636,212.18181818181827,22.31506849315066,8,14,0.30985915492957744
a=10s | move=70c/75s | hold=16200s | vol off | momentum,10,70.0,75,16200,300,0.0,momentum,4666.999999999997,4666.999999999997,65.73239436619714,4.849273030570368,23.94072021123237,-151.99999999999955,0.23943661971830985,0.30985915492957744,71,22,0.7727272727272727,212.13636363636348,21.379912663755317,9,13,0.30985915492957744
a=15s | move=85c/75s | hold=16200s | vol off | momentum,15,85.0,75,16200,300,0.0,momentum,4663.000000000002,4663.000000000002,65.67605633802819,4.89987178782102,64.1053829560071,-54.99999999999909,0.2676056338028169,0.29577464788732394,71,21,0.9047619047619048,222.04761904761918,54.59770114942517,8,13,0.29577464788732394
a=3s | move=72.5c/75s | hold=16200s | vol off | momentum,3,72.5,75,16200,300,0.0,momentum,4651.000000000002,4651.000000000002,65.50704225352115,4.808169710492841,21.80525665879099,-147.9999999999991,0.2676056338028169,0.30985915492957744,71,22,0.8636363636363636,211.409090909091,23.360576923076884,8,14,0.30985915492957744
a=15s | move=77.5c/75s | hold=16200s | vol off | momentum,15,77.5,75,16200,300,0.0,momentum,4645.0,4645.0,65.4225352112676,4.803296532965658,17.958615875410707,-194.0,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,221.1904761904762,21.55309734513264,8,13,0.29577464788732394
a=5s | move=70c/75s | hold=16200s | vol off | momentum,5,70.0,75,16200,300,0.0,momentum,4621.000000000001,4621.000000000001,65.08450704225353,4.759429247199552,20.829599271332075,-151.99999999999864,0.2535211267605634,0.30985915492957744,71,22,0.8181818181818182,210.0454545454546,21.446902654867216,9,13,0.30985915492957744
a=30s | move=77.5c/75s | hold=16200s | vol off | momentum,30,77.5,75,16200,300,0.0,momentum,4619.000000000001,4619.000000000001,65.05633802816902,4.655669340532753,13.083110464737686,-239.0,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,219.952380952381,19.329365079364962,8,13,0.29577464788732394
a=1s | move=80c/75s | hold=16200s | vol off | momentum,1,80.0,75,16200,300,0.0,momentum,4617.000000000002,4617.000000000002,65.02816901408453,4.797244739965376,13.772441260750753,-159.99999999999818,0.2676056338028169,0.29577464788732394,71,21,0.9047619047619048,219.85714285714297,29.85625000000016,8,13,0.29577464788732394
a=5s | move=72.5c/75s | hold=16200s | vol off | momentum,5,72.5,75,16200,300,0.0,momentum,4616.000000000002,4616.000000000002,65.01408450704228,4.757793175636276,22.62457227718549,-142.99999999999955,0.2535211267605634,0.30985915492957744,71,22,0.8181818181818182,209.81818181818196,23.086124401913857,8,14,0.30985915492957744
a=7s | move=85c/75s | hold=14400s | vol off | momentum,7,85.0,75,14400,300,0.0,momentum,4613.000000000001,4613.000000000001,64.9718309859155,5.856202502884076,0.0,-73.0,0.28169014084507044,0.29577464788732394,71,21,0.9523809523809523,219.6666666666667,64.19178082191715,8,13,0.29577464788732394
a=3s | move=85c/75s | hold=14400s | vol off | momentum,3,85.0,75,14400,300,0.0,momentum,4599.000000000005,4599.000000000005,64.77464788732401,5.810223395561761,0.0,-66.99999999999955,0.28169014084507044,0.29577464788732394,71,21,0.9523809523809523,219.00000000000017,69.64179104477562,8,13,0.29577464788732394
