params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,run_key,run_label,objective,train_start,train_end,test_start,test_end
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.4,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,-52.032400000001935,-1.0202431372549399,-0.8873496115094184,-0.9552945645673848,-155.37720000000087,0.17647058823529413,0.39215686274509803,51,20,0.45,-2.6016200000000973,0.7944212214838201,13,7,0.39215686274509803,1,2,0.5,0.800399999998632,0.01538272307252024,64.46279999999946,1.2388973024499554,-116.4952000000014,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=1x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,1.0,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,-29.4547999999996,-0.5775450980392078,-2.222875720904306,0.0,-29.4547999999996,0.0,0.0196078431372549,51,1,0.0,-29.4547999999996,0.0,1,0,0.0196078431372549,0,2,0.0,0.0,0.0,0.0,0.0,-29.4547999999996,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=1x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,1.0,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,-37.45480000000014,-0.7344078431372577,-2.2228757209044216,0.0,-37.45480000000014,0.0,0.0196078431372549,51,1,0.0,-37.45480000000014,0.0,0,1,0.0196078431372549,0,2,0.0,0.0,0.0,0.0,0.0,-37.45480000000014,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.25,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,-142.7108000000006,-2.7982509803921687,-2.622409112731315,-2.7083482609320395,-155.18280000000118,0.13725490196078433,0.49019607843137253,51,25,0.28,-5.708432000000025,0.49736409077333055,15,10,0.49019607843137253,0,2,0.0,0.0,0.0,65.46120000000069,0.4586982905288206,-208.17200000000128,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.75,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,-69.68079999999932,-1.3662901960784182,-3.013063214444343,-1.4115106842884475,-84.12239999999949,0.0196078431372549,0.09803921568627451,51,5,0.2,-13.936159999999864,0.17167365648150892,2,3,0.09803921568627451,0,2,0.0,0.0,0.0,14.44160000000017,0.20725364806374655,-84.12239999999949,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.25,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,-360.71080000000137,-7.072760784313752,-3.049849514715994,-2.531071411649333,-542.7271999999998,0.21568627450980393,0.49019607843137253,51,25,0.44,-14.428432000000052,0.4482573592035299,15,10,0.49019607843137253,1,2,0.5,77.15399999999914,0.2138943441671246,69.43919999999989,0.19250657313282446,-430.1500000000012,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.55,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,-236.93759999999935,-4.645835294117634,-3.1890019394477194,-2.419156896260424,-253.4859999999991,0.058823529411764705,0.17647058823529413,51,9,0.3333333333333333,-26.32639999999993,0.3018104667609603,4,5,0.17647058823529413,0,2,0.0,0.0,0.0,47.4232,0.20015058817173859,-284.36079999999936,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.75,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,-217.68079999999972,-4.268250980392152,-3.54217930579098,-2.5446989539647693,-252.22199999999947,0.0196078431372549,0.09803921568627451,51,5,0.2,-43.536159999999946,0.13694760964546981,2,3,0.09803921568627451,0,2,0.0,0.0,0.0,34.54119999999975,0.15867821139944263,-252.22199999999947,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.4,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,-307.22879999999907,-6.02409411764704,-3.920438161056627,-3.7764235489805675,-372.51159999999817,0.09803921568627451,0.29411764705882354,51,15,0.3333333333333333,-20.481919999999935,0.3120248221105964,5,10,0.29411764705882354,0,2,0.0,0.0,0.0,60.42839999999954,0.19668859169452774,-367.6571999999986,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.4,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,4.7035866053226085,460.15679999999975,5.976062337662334,3.3920598053226088,4.771961580240807,-101.74119999999922,0.2077922077922078,0.3246753246753247,77,25,0.64,18.406271999999987,2.6175160888008877,13,12,0.3246753246753247,3,3,1.0,229.3856000000006,0.4984944262477502,128.52280000000022,0.27930218568974813,331.63399999999956,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-12-31,2026-01-01,2026-01-31
a=120s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.55,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,3.6575154671336474,244.66839999999956,3.1775116883116827,2.639717867133648,3.1499457391040204,-52.57679999999999,0.09090909090909091,0.12987012987012986,77,10,0.7,24.466839999999955,3.0809099692458224,5,5,0.12987012987012986,3,3,1.0,140.22520000000054,0.573123460160776,84.48119999999975,0.34528856198838875,160.18719999999982,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-12-31,2026-01-01,2026-01-31
a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.75,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,3.3434783894966986,192.3191999999997,2.4976519480519443,2.679713134947386,0.0,-39.45879999999974,0.05194805194805195,0.06493506493506493,77,5,0.8,38.46383999999994,5.873924194349425,3,2,0.06493506493506493,2,3,0.6666666666666666,114.47760000000059,0.5952479003656461,77.48399999999971,0.4028926909013756,114.8352,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-12-31,2026-01-01,2026-01-31
