params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,cluster_neighbors,cluster_positive_neighbors,cluster_positive_rate,stable_score,run_key,run_label,objective,train_start,train_end,test_start,test_end
a=300s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,300,0.25,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,0.05595679993780783,199.42640000000046,2.6240315789473745,0.8333221486844067,1.3850734274655523,-261.1475999999984,0.4473684210526316,0.8157894736842105,76,62,0.5483870967741935,3.2165548387096847,1.1538298721822928,28,34,0.8157894736842105,1,3,0.3333333333333333,389.13759999999843,1.9512842833245625,147.4152000000007,0.7391960141686376,52.01119999999975,23,10,0.43478260869565216,4.708130712981286,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-11-01,2026-01-31,2026-02-01,2026-02-28
a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=21600s | reversal | exit_by_midnight,120,0.55,900,21600,63,percent_to_dollar,reversal,exit_by_midnight,5.279342222563697,584.2300000000013,7.78973333333335,3.713650222563694,4.726052606550499,-55.67600000000016,0.10666666666666667,0.16,75,12,0.6666666666666666,48.68583333333342,6.145116177485928,7,5,0.16,3,3,1.0,303.2224000000001,0.5190120329322346,148.5459999999998,0.25425945261283994,435.68400000000145,35,10,0.2857142857142857,9.707913651135126,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-12-01,2026-02-28,2026-03-01,2026-03-26
a=120s | move=0.75x percent_to_dollar sigma (63D)/3600s | hold=14400s | continuation | exit_by_midnight,120,0.75,3600,14400,63,percent_to_dollar,continuation,exit_by_midnight,3.3756135740738578,352.854,4.70472,2.5815082485692575,2.1844757484447337,-159.18520000000063,0.2,0.3333333333333333,75,25,0.6,14.11416,2.1932466084923887,15,10,0.3333333333333333,2,3,0.6666666666666666,223.06799999999998,0.6321821489908007,118.16319999999938,0.3348784483100642,234.6908000000006,53,14,0.2641509433962264,9.371839989168198,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-12-01,2026-02-28,2026-03-01,2026-03-26
a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,120,0.55,900,14400,63,percent_to_dollar,reversal,exit_by_midnight,2.9006863372584233,305.45120000000594,4.072682666666746,1.9534337847234038,1.1392626985772847,-172.81719999999888,0.18666666666666668,0.29333333333333333,75,22,0.6363636363636364,13.884145454545722,1.9472917703013608,11,11,0.29333333333333333,3,3,1.0,113.29720000000219,0.3709175148108765,114.33640000000017,0.37431969492998535,191.11480000000577,53,15,0.2830188679245283,9.325214639145216,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-12-01,2026-02-28,2026-03-01,2026-03-26
a=120s | move=1x percent_to_dollar sigma (63D)/3600s | hold=14400s | continuation | exit_by_midnight,120,1.0,3600,14400,63,percent_to_dollar,continuation,exit_by_midnight,2.897055002478465,230.66120000000117,3.0754826666666824,2.4626932419680596,1.460653450965822,-92.905999999998,0.12,0.16,75,12,0.75,19.221766666666763,2.638949758841301,8,4,0.16,2,3,0.6666666666666666,219.1091999999997,0.9499178882274028,104.15759999999932,0.4515609907517987,126.50360000000185,35,14,0.4,9.097055002478465,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-12-01,2026-02-28,2026-03-01,2026-03-26
a=120s | move=1x percent_to_dollar sigma (63D)/3600s | hold=21600s | continuation | exit_by_midnight,120,1.0,3600,21600,63,percent_to_dollar,continuation,exit_by_midnight,3.67170399816884,190.50160000000022,2.5400213333333364,3.062211868384314,0.0,-23.52120000000008,0.06666666666666667,0.08,75,6,0.8333333333333334,31.750266666666704,9.099144601465506,3,3,0.08,2,3,0.6666666666666666,115.8568000000005,0.6081670705127955,90.58119999999997,0.4754878699181522,99.92040000000026,23,11,0.4782608695652174,8.789095302516666,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-12-01,2026-02-28,2026-03-01,2026-03-26
a=300s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=21600s | reversal | exit_by_midnight,300,0.55,900,21600,63,percent_to_dollar,reversal,exit_by_midnight,5.2938884710864675,570.2423999999992,7.603231999999989,3.762315671086469,5.368932813819828,-57.67679999999973,0.12,0.16,75,12,0.75,47.520199999999925,6.32829260635225,7,5,0.16,3,3,1.0,313.2291999999988,0.5492913189198124,150.61760000000012,0.26412907914248457,419.624799999999,23,7,0.30434782608695654,8.550410210216903,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-12-01,2026-02-28,2026-03-01,2026-03-26
a=60s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=21600s | reversal | exit_by_midnight,60,0.55,900,21600,63,percent_to_dollar,reversal,exit_by_midnight,5.418310350018204,603.2411999999997,8.043215999999996,3.8095939500182046,5.118239028165978,-52.674800000000005,0.10666666666666667,0.16,75,12,0.6666666666666666,50.270099999999964,6.882249923941538,7,5,0.16,3,3,1.0,303.22400000000005,0.5026579749526395,147.5456,0.2445880685868274,455.6955999999997,23,6,0.2608695652173913,8.209614697844291,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-12-01,2026-02-28,2026-03-01,2026-03-26
a=120s | move=0.25x percent_to_dollar sigma (63D)/3600s | hold=14400s | continuation | exit_by_midnight,120,0.25,3600,14400,63,percent_to_dollar,continuation,exit_by_midnight,2.6876547435744973,431.98560000000197,5.759808000000026,2.129140465040761,3.157000761075145,-280.8716000000006,0.4666666666666667,0.84,75,63,0.5555555555555556,6.856914285714317,1.4526315745356082,31,32,0.84,2,3,0.6666666666666666,456.15719999999993,1.0559546429325373,148.3039999999991,0.3433077398876222,283.68160000000285,35,12,0.34285714285714286,8.001940457860211,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-12-01,2026-02-28,2026-03-01,2026-03-26
a=120s | move=0.25x percent_to_dollar sigma (63D)/3600s | hold=7200s | continuation | exit_by_midnight,120,0.25,3600,7200,63,percent_to_dollar,continuation,exit_by_midnight,2.981124355201366,295.9856000000034,3.946474666666712,2.4576933511698056,5.019156189150372,-104.34839999999953,0.4666666666666667,0.84,75,63,0.5555555555555556,4.698184126984181,1.5528861312974245,31,32,0.84,2,3,0.6666666666666666,304.1572000000032,1.0276080998535053,115.30399999999926,0.3895594920833917,180.68160000000412,35,11,0.3142857142857143,7.852552926629938,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-12-01,2026-02-28,2026-03-01,2026-03-26
