params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,rebalance,objective,train_start,train_end,test_start,test_end,run_key
a=120s | move=0.25x dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.25,1800,21600,63,dollar,reversal,exit_by_midnight,-2.7340484134220544,-373.72239999999516,-7.327890196078337,-2.7340484134220544,-2.5612085565203624,-593.4895999999984,0.21568627450980393,0.49019607843137253,51,25,0.44,-14.94889599999981,0.5343190175854167,15,10,0.49019607843137253,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=1x dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,1.0,1800,3600,63,dollar,continuation,exit_by_midnight,-inf,17.547999999999575,0.3440784313725407,2.2228757209039403,0.0,0.0,0.0196078431372549,0.0196078431372549,51,1,1.0,17.547999999999575,inf,0,1,0.0196078431372549,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=1x dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,1.0,1800,21600,63,dollar,continuation,exit_by_midnight,-inf,17.547999999999575,0.3440784313725407,2.2228757209039403,0.0,0.0,0.0196078431372549,0.0196078431372549,51,1,1.0,17.547999999999575,inf,0,1,0.0196078431372549,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=1x dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,1.0,1800,3600,63,dollar,reversal,exit_by_midnight,-inf,-22.451999999999572,-0.4402352941176387,-2.2228757209041388,0.0,-22.451999999999572,0.0,0.0196078431372549,51,1,0.0,-22.451999999999572,0.0,1,0,0.0196078431372549,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=1x dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,1.0,1800,21600,63,dollar,reversal,exit_by_midnight,-inf,-22.451999999999572,-0.4402352941176387,-2.2228757209041388,0.0,-22.451999999999572,0.0,0.0196078431372549,51,1,0.0,-22.451999999999572,0.0,1,0,0.0196078431372549,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=0.4x dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.4,1800,21600,63,dollar,reversal,exit_by_midnight,2.960173613609575,445.0472000000037,5.779833766233815,2.960173613609575,4.34307593957523,-92.08599999999902,0.19480519480519481,0.2987012987012987,77,23,0.6521739130434783,19.349878260869723,2.218829215496832,13,10,0.2987012987012987,monthly,daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,dollar_monthly_sharpe_objective
a=120s | move=0.4x dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.4,1800,3600,63,dollar,reversal,exit_by_midnight,2.299087628613208,384.70200000000284,4.996129870129907,2.299087628613208,3.397621223018371,-168.64039999999923,0.2727272727272727,0.4675324675324675,77,36,0.5833333333333334,10.686166666666745,1.6742396572139258,22,14,0.4675324675324675,monthly,daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,dollar_monthly_sharpe_objective
a=120s | move=0.55x dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.55,1800,21600,63,dollar,reversal,exit_by_midnight,1.712783709583367,177.66399999999942,2.3073246753246677,1.712783709583367,2.659849408029713,-62.56639999999943,0.07792207792207792,0.12987012987012986,77,10,0.6,17.76639999999994,1.9104045946571875,5,5,0.12987012987012986,monthly,daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,dollar_monthly_sharpe_objective
a=120s | move=0.75x dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.75,1800,21600,63,dollar,reversal,exit_by_midnight,1.6325622941529796,124.31719999999973,1.6145090909090873,1.6325622941529796,19.05258578429831,-44.46080000000018,0.03896103896103896,0.06493506493506493,77,5,0.6,24.863439999999947,2.428618052108009,3,2,0.06493506493506493,monthly,daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,dollar_monthly_sharpe_objective
a=120s | move=0.25x dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.25,1800,21600,63,dollar,continuation,exit_by_midnight,1.4186890720680418,317.17319999999467,4.119132467532398,1.4186890720680418,2.5333066945066305,-313.5216000000021,0.3116883116883117,0.5844155844155844,77,45,0.5333333333333333,7.0482933333332145,1.3260346925290551,19,26,0.5844155844155844,monthly,daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,dollar_monthly_sharpe_objective
a=120s | move=0.25x dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.25,1800,3600,63,dollar,continuation,exit_by_midnight,1.413210913843335,316.33719999999454,4.108275324675254,1.413210913843335,2.4993270291572585,-313.5216000000021,0.3246753246753247,0.6103896103896104,77,47,0.5319148936170213,6.730578723404139,1.3204360902925787,20,27,0.6103896103896104,monthly,daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,dollar_monthly_sharpe_objective
a=120s | move=0.75x dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.75,1800,3600,63,dollar,reversal,exit_by_midnight,1.4039742258995411,107.82479999999967,1.4003220779220735,1.4039742258995411,1.4224679865143828,-60.95320000000024,0.03896103896103896,0.07792207792207792,77,6,0.5,17.970799999999944,2.0416687598297925,3,3,0.07792207792207792,monthly,daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,dollar_monthly_sharpe_objective
a=120s | move=0.55x dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.55,1800,3600,63,dollar,reversal,exit_by_midnight,1.361604461349034,158.13639999999936,2.0537194805194723,1.361604461349034,1.8949412875845386,-126.66519999999977,0.1038961038961039,0.19480519480519481,77,15,0.5333333333333333,10.542426666666621,1.5421735159316314,9,6,0.19480519480519481,monthly,daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,dollar_monthly_sharpe_objective
a=120s | move=0.75x dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.75,1800,3600,63,dollar,continuation,exit_by_midnight,-1.746131296401478,-138.1751999999997,-1.794483116883113,-1.746131296401478,-2.5367819385328363,-226.66359999999978,0.03896103896103896,0.07792207792207792,77,6,0.5,-23.02919999999995,0.39039528181851774,3,3,0.07792207792207792,monthly,daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,dollar_monthly_sharpe_objective
a=120s | move=0.75x dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.75,1800,21600,63,dollar,continuation,exit_by_midnight,-1.8998108717265492,-149.68279999999976,-1.9439324675324643,-1.8998108717265492,-2.7480519192230077,-226.66359999999978,0.025974025974025976,0.06493506493506493,77,5,0.4,-29.93655999999995,0.33962577140749445,2,3,0.06493506493506493,monthly,daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,dollar_monthly_sharpe_objective
a=120s | move=0.55x dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.55,1800,3600,63,dollar,continuation,exit_by_midnight,-1.9782945863525538,-233.8635999999994,-3.0371896103896026,-1.9782945863525538,-1.8671264900659494,-312.862799999999,0.09090909090909091,0.19480519480519481,77,15,0.4666666666666667,-15.590906666666628,0.5229146759517274,6,9,0.19480519480519481,monthly,daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,dollar_monthly_sharpe_objective
