skip_reason,date,signal_time_utc,entry_time_utc,selected_symbol,contract_expiry_date,days_to_expiry,a,b,c,affected_parameter_count,stage
forward_filled_entry,2025-01-07,2025-01-07 07:00:00,2025-01-07 07:02:00,F:BRN\H25,2025-01-31,18.0,120,0.3,1800,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:00:02,2025-01-07 07:02:02,F:BRN\H25,2025-01-31,18.0,120,0.3,3600,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:04:57,2025-01-07 07:06:57,F:BRN\H25,2025-01-31,18.0,120,0.5,900,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:08:14,2025-01-07 07:10:14,F:BRN\H25,2025-01-31,18.0,120,0.5,3600,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:12:21,2025-01-07 07:14:21,F:BRN\H25,2025-01-31,18.0,120,0.7,900,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:13:45,2025-01-07 07:15:45,F:BRN\H25,2025-01-31,18.0,120,0.9,3600,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:00:00,2025-01-07 07:05:00,F:BRN\H25,2025-01-31,18.0,300,0.3,900,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:00:00,2025-01-07 07:05:00,F:BRN\H25,2025-01-31,18.0,300,0.3,1800,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:04:57,2025-01-07 07:09:57,F:BRN\H25,2025-01-31,18.0,300,0.5,900,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:08:13,2025-01-07 07:13:13,F:BRN\H25,2025-01-31,18.0,300,0.5,1800,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:12:21,2025-01-07 07:17:21,F:BRN\H25,2025-01-31,18.0,300,0.7,900,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:15:05,2025-01-07 07:20:05,F:BRN\H25,2025-01-31,18.0,300,0.7,1800,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:13:45,2025-01-07 07:18:45,F:BRN\H25,2025-01-31,18.0,300,0.9,3600,6,1
forward_filled_entry,2025-01-08,2025-01-08 07:09:27,2025-01-08 07:10:27,F:BRN\H25,2025-01-31,17.0,60,0.5,900,6,1
forward_filled_entry,2025-01-08,2025-01-08 07:35:04,2025-01-08 07:36:04,F:BRN\H25,2025-01-31,17.0,60,0.9,900,6,1
forward_filled_entry,2025-01-08,2025-01-08 07:02:47,2025-01-08 07:04:47,F:BRN\H25,2025-01-31,17.0,120,0.3,900,6,1
forward_filled_entry,2025-01-08,2025-01-08 07:32:55,2025-01-08 07:34:55,F:BRN\H25,2025-01-31,17.0,120,0.7,900,6,1
forward_filled_entry,2025-01-08,2025-01-08 07:35:04,2025-01-08 07:37:04,F:BRN\H25,2025-01-31,17.0,120,0.9,900,6,1
forward_filled_entry,2025-01-08,2025-01-08 07:35:04,2025-01-08 07:40:04,F:BRN\H25,2025-01-31,17.0,300,0.9,900,6,1
forward_filled_entry,2025-01-09,2025-01-09 07:01:35,2025-01-09 07:02:35,F:BRN\H25,2025-01-31,16.0,60,0.5,900,6,1
forward_filled_entry,2025-01-09,2025-01-09 07:04:36,2025-01-09 07:05:36,F:BRN\H25,2025-01-31,16.0,60,0.5,3600,6,1
forward_filled_entry,2025-01-09,2025-01-09 07:24:53,2025-01-09 07:25:53,F:BRN\H25,2025-01-31,16.0,60,0.9,1800,6,1
forward_filled_entry,2025-01-09,2025-01-09 07:00:00,2025-01-09 07:02:00,F:BRN\H25,2025-01-31,16.0,120,0.3,1800,6,1
forward_filled_entry,2025-01-09,2025-01-09 07:00:00,2025-01-09 07:02:00,F:BRN\H25,2025-01-31,16.0,120,0.3,3600,6,1
forward_filled_entry,2025-01-09,2025-01-09 07:00:00,2025-01-09 07:02:00,F:BRN\H25,2025-01-31,16.0,120,0.5,1800,6,1
forward_filled_entry,2025-01-09,2025-01-09 07:00:00,2025-01-09 07:02:00,F:BRN\H25,2025-01-31,16.0,120,0.7,1800,6,1
forward_filled_entry,2025-01-09,2025-01-09 07:05:36,2025-01-09 07:07:36,F:BRN\H25,2025-01-31,16.0,120,0.9,900,6,1
forward_filled_entry,2025-01-09,2025-01-09 07:00:00,2025-01-09 07:05:00,F:BRN\H25,2025-01-31,16.0,300,0.3,1800,6,1
forward_filled_entry,2025-01-09,2025-01-09 07:00:00,2025-01-09 07:05:00,F:BRN\H25,2025-01-31,16.0,300,0.3,3600,6,1
forward_filled_entry,2025-01-09,2025-01-09 07:00:00,2025-01-09 07:05:00,F:BRN\H25,2025-01-31,16.0,300,0.5,1800,6,1
forward_filled_entry,2025-01-09,2025-01-09 07:00:00,2025-01-09 07:05:00,F:BRN\H25,2025-01-31,16.0,300,0.7,1800,6,1
forward_filled_entry,2025-01-09,2025-01-09 07:05:36,2025-01-09 07:10:36,F:BRN\H25,2025-01-31,16.0,300,0.9,900,6,1
forward_filled_entry,2025-01-09,2025-01-09 07:24:53,2025-01-09 07:29:53,F:BRN\H25,2025-01-31,16.0,300,0.9,1800,6,1
forward_filled_entry,2025-01-10,2025-01-10 07:00:00,2025-01-10 07:01:00,F:BRN\H25,2025-01-31,15.0,60,0.3,900,6,1
forward_filled_entry,2025-01-10,2025-01-10 07:01:04,2025-01-10 07:02:04,F:BRN\H25,2025-01-31,15.0,60,0.3,1800,6,1
forward_filled_entry,2025-01-10,2025-01-10 07:05:59,2025-01-10 07:06:59,F:BRN\H25,2025-01-31,15.0,60,0.9,900,6,1
