run_key,run_label,fill_model,selector_kind,month,month_pnl_cents,month_share_of_total,trades
actual_bid_ask_train_total_pnl,Train PnL selector,actual_bid_ask,train_total_pnl,2025-07,48.99999999999949,-0.03924972469121641,1
actual_bid_ask_train_total_pnl,Train PnL selector,actual_bid_ask,train_total_pnl,2025-08,-93.00000000000068,0.07449437543435083,5
actual_bid_ask_train_total_pnl,Train PnL selector,actual_bid_ask,train_total_pnl,2025-09,-87.00000000000045,0.06968828669665064,5
actual_bid_ask_train_total_pnl,Train PnL selector,actual_bid_ask,train_total_pnl,2025-10,28.000000000000114,-0.022428414109266846,22
actual_bid_ask_train_total_pnl,Train PnL selector,actual_bid_ask,train_total_pnl,2025-11,623.9999999999995,-0.4998332287208016,20
actual_bid_ask_train_total_pnl,Train PnL selector,actual_bid_ask,train_total_pnl,2025-12,182.03479999999922,-0.14581256702491194,22
actual_bid_ask_train_total_pnl,Train PnL selector,actual_bid_ask,train_total_pnl,2026-01,-99.20039999999584,0.07946098753588615,21
actual_bid_ask_train_total_pnl,Train PnL selector,actual_bid_ask,train_total_pnl,2026-02,-89.82680000000087,0.07195259530393938,20
actual_bid_ask_train_total_pnl,Train PnL selector,actual_bid_ask,train_total_pnl,2026-03,-1521.4240000000018,1.2186831252777537,18
actual_bid_ask_train_daily_sharpe,Train Sharpe selector,actual_bid_ask,train_daily_sharpe,2025-04,59.00000000000034,0.12666815519640093,7
actual_bid_ask_train_daily_sharpe,Train Sharpe selector,actual_bid_ask,train_daily_sharpe,2025-05,-96.99999999999918,-0.2082510348144189,16
actual_bid_ask_train_daily_sharpe,Train Sharpe selector,actual_bid_ask,train_daily_sharpe,2025-06,216.0000000000025,0.4637342630919112,14
actual_bid_ask_train_daily_sharpe,Train Sharpe selector,actual_bid_ask,train_daily_sharpe,2025-07,29.000000000000625,0.06226061865585907,4
actual_bid_ask_train_daily_sharpe,Train Sharpe selector,actual_bid_ask,train_daily_sharpe,2025-08,-102.00000000000102,-0.21898562423784662,2
actual_bid_ask_train_daily_sharpe,Train Sharpe selector,actual_bid_ask,train_daily_sharpe,2025-09,-75.00000000000142,-0.16101884135135924,7
actual_bid_ask_train_daily_sharpe,Train Sharpe selector,actual_bid_ask,train_daily_sharpe,2025-10,28.000000000000114,0.06011370077117322,22
actual_bid_ask_train_daily_sharpe,Train Sharpe selector,actual_bid_ask,train_daily_sharpe,2025-11,12.999999999996703,0.02790993250089466,20
actual_bid_ask_train_daily_sharpe,Train Sharpe selector,actual_bid_ask,train_daily_sharpe,2025-12,-102.9651999999995,-0.22105782938014107,22
actual_bid_ask_train_daily_sharpe,Train Sharpe selector,actual_bid_ask,train_daily_sharpe,2026-01,130.0268000000008,0.27915686240832865,9
actual_bid_ask_train_daily_sharpe,Train Sharpe selector,actual_bid_ask,train_daily_sharpe,2026-02,3.7987999999989768,0.008155711660338228,7
actual_bid_ask_train_daily_sharpe,Train Sharpe selector,actual_bid_ask,train_daily_sharpe,2026-03,363.9236000000005,0.7813140854988598,16
actual_bid_ask_robust_top_trade_neutral,Robust top-trade-neutral selector,actual_bid_ask,robust_top_trade_neutral,2025-04,-17.00000000000088,0.018845377007310746,5
actual_bid_ask_robust_top_trade_neutral,Robust top-trade-neutral selector,actual_bid_ask,robust_top_trade_neutral,2025-05,-611.0,0.6773250206744864,4
actual_bid_ask_robust_top_trade_neutral,Robust top-trade-neutral selector,actual_bid_ask,robust_top_trade_neutral,2025-06,-36.99999999999761,0.04101640878061274,16
actual_bid_ask_robust_top_trade_neutral,Robust top-trade-neutral selector,actual_bid_ask,robust_top_trade_neutral,2025-07,29.000000000000625,-0.03214799607129383,4
actual_bid_ask_robust_top_trade_neutral,Robust top-trade-neutral selector,actual_bid_ask,robust_top_trade_neutral,2025-08,-59.99999999999943,0.06651309531991621,5
actual_bid_ask_robust_top_trade_neutral,Robust top-trade-neutral selector,actual_bid_ask,robust_top_trade_neutral,2025-09,-26.999999999999602,0.029930892893962138,7
actual_bid_ask_robust_top_trade_neutral,Robust top-trade-neutral selector,actual_bid_ask,robust_top_trade_neutral,2025-10,-303.00000000000153,0.33589113136558174,21
actual_bid_ask_robust_top_trade_neutral,Robust top-trade-neutral selector,actual_bid_ask,robust_top_trade_neutral,2025-11,-102.99999999999869,0.11418081363252246,20
actual_bid_ask_robust_top_trade_neutral,Robust top-trade-neutral selector,actual_bid_ask,robust_top_trade_neutral,2025-12,-9.495200000000029,0.010525919044694606,1
actual_bid_ask_robust_top_trade_neutral,Robust top-trade-neutral selector,actual_bid_ask,robust_top_trade_neutral,2026-01,-52.99319999999929,0.05874569604845616,11
actual_bid_ask_robust_top_trade_neutral,Robust top-trade-neutral selector,actual_bid_ask,robust_top_trade_neutral,2026-02,72.6520000000015,-0.08053849001971163,6
actual_bid_ask_robust_top_trade_neutral,Robust top-trade-neutral selector,actual_bid_ask,robust_top_trade_neutral,2026-03,216.75839999999403,-0.24028786867653773,19
