run_key,run_label,fill_model,selector_kind,test_start,signal_time_dubai,entry_time_dubai,exit_time_dubai,side,fill_source,selected_symbol,move_cents,threshold_cents,entry_price,exit_price,net_pnl_cents,abs_pnl_cents,selected_params
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-10-10 14:20:55,2025-10-10 14:25:55,2025-10-10 20:25:55,-1,synthetic_dynamic_cost,F:BRN\Z25,-42.00000000000017,41.47283474717903,64.47,62.795,164.92119999999971,164.92119999999971,a=300s | b=0.3x rolling sigma | c=2400s | d=21600s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-02-01,2026-02-26 22:58:58,2026-02-26 23:00:28,2026-02-27 00:00:00,-1,synthetic_dynamic_cost,%BRN 1!-ICE,56.00000000000023,55.699692081560606,70.54,72.11,-159.8215999999993,159.8215999999993,a=90s | b=0.45x rolling sigma | c=900s | d=21600s | reversal | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-01-01,2026-01-05 16:29:46,2026-01-05 16:31:16,2026-01-05 22:31:16,1,synthetic_dynamic_cost,%BRN 1!-ICE,-43.99999999999977,42.006152414784616,59.56,61.08,149.6175999999996,149.6175999999996,a=90s | b=0.55x rolling sigma | c=900s | d=21600s | reversal | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-01-01,2026-01-09 17:40:18,2026-01-09 17:41:48,2026-01-09 23:41:48,1,synthetic_dynamic_cost,%BRN 1!-ICE,-45.000000000000284,44.30382333471399,61.36,62.85,146.5456000000002,146.5456000000002,a=90s | b=0.55x rolling sigma | c=900s | d=21600s | reversal | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-02-01,2026-02-03 16:50:44,2026-02-03 16:52:14,2026-02-03 22:52:14,1,synthetic_dynamic_cost,%BRN 1!-ICE,-50.0,48.82860992165363,64.92,66.29,134.40320000000045,134.40320000000045,a=90s | b=0.45x rolling sigma | c=900s | d=21600s | reversal | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-03-01,2026-03-25 20:30:14,2026-03-25 20:31:14,2026-03-26 00:00:00,1,synthetic_dynamic_cost,%BRN 1!-ICE,268.9999999999998,267.729002335655,100.52,101.82,125.97919999999972,125.97919999999972,a=60s | b=0.85x rolling sigma | c=3600s | d=14400s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-06-01,2025-06-13 11:29:58,2025-06-13 11:34:58,2025-06-13 13:34:58,1,synthetic_dynamic_cost,F:BRN\Q25,62.999999999999545,62.69805800354479,72.88,74.10499999999999,119.58479999999943,119.58479999999943,a=300s | b=0.3x rolling sigma | c=1200s | d=7200s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-03-01,2026-03-16 18:59:34,2026-03-16 19:00:34,2026-03-16 23:00:34,-1,synthetic_dynamic_cost,%BRN 1!-ICE,-220.00000000000028,219.3498742274749,102.85,101.7,110.88599999999914,110.88599999999914,a=60s | b=0.85x rolling sigma | c=3600s | d=14400s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-01-01,2026-01-14 17:50:46,2026-01-14 17:52:16,2026-01-14 23:52:16,-1,synthetic_dynamic_cost,%BRN 1!-ICE,46.999999999999176,46.23552329939274,64.37,65.26,-91.57480000000005,91.57480000000005,a=90s | b=0.55x rolling sigma | c=900s | d=21600s | reversal | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-12-01,2025-12-26 17:00:02,2025-12-26 17:03:02,2025-12-26 23:03:02,1,synthetic_dynamic_cost,%BRN 1!-ICE,23.000000000000398,22.30181597104418,61.75,60.89,-88.46999999999994,88.46999999999994,a=180s | b=0.25x rolling sigma | c=1800s | d=21600s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-10-16 18:11:47,2025-10-16 18:16:47,2025-10-17 00:00:00,-1,synthetic_dynamic_cost,F:BRN\Z25,-39.50000000000102,39.07865344535502,61.974999999999994,61.1,85.02099999999929,85.02099999999929,a=300s | b=0.3x rolling sigma | c=2400s | d=21600s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-07-01,2025-07-02 19:55:51,2025-07-02 20:00:51,2025-07-02 22:00:51,1,synthetic_dynamic_cost,F:BRN\U25,67.50000000000114,67.41087956250986,68.245,69.1,82.77019999999898,82.77019999999898,a=300s | b=0.3x rolling sigma | c=1200s | d=7200s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-10-15 16:28:19,2025-10-15 16:33:19,2025-10-15 22:33:19,1,synthetic_dynamic_cost,F:BRN\Z25,39.99999999999986,39.5127369052097,62.685,61.9,-81.00740000000037,81.00740000000037,a=300s | b=0.3x rolling sigma | c=2400s | d=21600s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-06-01,2025-06-23 12:04:00,2025-06-23 12:09:00,2025-06-23 14:09:00,-1,synthetic_dynamic_cost,F:BRN\Q25,-82.50000000000028,79.88934772184098,76.86,77.59,-76.0744000000004,76.0744000000004,a=300s | b=0.3x rolling sigma | c=1200s | d=7200s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-10-29 12:17:28,2025-10-29 12:22:28,2025-10-29 18:22:28,-1,synthetic_dynamic_cost,F:BRN\Z25,-37.000000000000455,35.974795695473766,64.11500000000001,64.845,-75.56459999999898,75.56459999999898,a=300s | b=0.3x rolling sigma | c=2400s | d=21600s | continuation | exit_by_midnight
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2026-03-01,2026-03-09 11:40:00,2026-03-09 11:43:00,2026-03-09 13:43:00,-1,synthetic_dynamic_cost,%BRN 1!-ICE,-73.0000000000004,62.13840723298436,115.82,109.37,640.3671999999989,640.3671999999989,a=180s | b=0.3x rolling sigma | c=2400s | d=7200s | continuation | exit_by_midnight
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2026-03-01,2026-03-16 13:58:05,2026-03-16 14:01:05,2026-03-16 16:01:05,-1,synthetic_dynamic_cost,%BRN 1!-ICE,-78.00000000000011,77.41760266852056,103.7,105.83,-217.14799999999954,217.14799999999954,a=180s | b=0.3x rolling sigma | c=2400s | d=7200s | continuation | exit_by_midnight
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2026-03-01,2026-03-23 13:40:53,2026-03-23 13:43:53,2026-03-23 15:43:53,-1,synthetic_dynamic_cost,%BRN 1!-ICE,-92.00000000000017,88.91618189302689,111.82,113.88,-210.47280000000023,210.47280000000023,a=180s | b=0.3x rolling sigma | c=2400s | d=7200s | continuation | exit_by_midnight
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2025-06-01,2025-06-23 20:42:28,2025-06-23 20:43:28,2025-06-23 21:43:28,-1,synthetic_dynamic_cost,F:BRN\Q25,-188.50000000000193,186.40847801762894,74.72,72.81,188.01119999999966,188.01119999999966,a=60s | b=0.7x rolling sigma | c=1200s | d=3600s | continuation | exit_by_midnight
